time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z
0,0.042,0.0114,-0.0078,14.5702,7.3931,-4.78894
0,0.042,-0.0102,-0.0084,14.9399,-6.48162,-5.72025
0,0.042,0.0078,0.0096,15.4109,5.07437,6.76452
0,0.042,-0.0072,0.0066,15.6367,-5.76578,4.88305
0,0.042,-0.009,-0.0024,15.7796,-7.02346,-2.09603
0,0.042,0.0006,-0.0138,14.9334,0.74833,-8.97254
0,0.042,-0.0018,-0.0096,15.7233,-1.08507,-7.39894
0,0.042,0.0078,0.0054,15.8782,6.17121,4.53594
0,0.042,0.0072,-0.0114,14.9007,4.9902,-7.34953
0,0.042,-0.0096,-0.0006,15.7093,-7.39609,-0.844702
0,0.042,0.0096,-0.0084,14.8507,6.65952,-5.33371
0,0.042,0.0018,-0.0078,16.0619,1.6724,-6.11909
0,0.042,-0.0066,-0.012,14.8222,-3.90082,-7.84418
0,0.042,0.0156,0.0018,13.833,9.3248,1.42208
0,0.042,0.0012,0.0078,16.2332,0.526805,6.31788
0,0.042,-0.0012,-0.0108,15.5469,-0.55458,-7.89084
0,0.042,0.0126,0,14.8395,8.35855,0.382134
0,0.042,0.0108,0,15.2767,7.8454,0.356896
0,0.042,-0.015,0.0024,13.8051,-9.07261,1.12062
0,0.042,-0.0096,-0.003,15.6136,-7.23679,-2.49244
0,0.042,0.009,-0.006,15.26,6.8171,-4.18536
0,0.042,0.0138,-0.003,14.2751,8.82915,-1.61744
0,0.042,0.0012,0.0132,15.1372,0.424276,8.79883
0,0.042,-0.0126,-0.0054,14.7097,-8.03664,-3.78818
0,0.042,0,0.0096,15.8502,-0.275988,7.22496
0,0.042,-0.0066,0.0054,15.8948,-5.49156,4.20577
0,0.042,-0.012,-0.009,14.2519,-7.16672,-5.72722
0,0.042,-0.0114,0.0084,14.3532,-7.43013,5.06796
0,0.042,0.0126,-0.0012,14.8023,8.46104,-0.498868
0,0.042,0.0096,-0.009,14.7421,6.5452,-5.73897
0,0.042,-0.0066,0.0048,15.9256,-5.54328,3.86129
0,0.042,-0.0018,-0.0102,15.6481,-1.03348,-7.63766
0,0.042,-0.012,-0.0096,14.1012,-7.07622,-5.95073
0,0.042,-0.0096,-0.0024,15.6671,-7.26899,-2.10407
0,0.042,0.0036,0.0048,16.6961,2.45188,4.40992
0,0.042,0.012,-0.009,14.2473,7.59507,-5.42263
0,0.042,0.0108,-0.009,14.4929,7.09669,-5.5429
0,0.042,-0.0006,0.0054,16.5947,-0.647016,4.51931
0,0.042,0.0072,0.0096,15.5149,4.7182,6.85456
0,0.042,0.015,-0.003,13.7769,9.05561,-1.51441
0,0.042,0.012,-0.0018,14.9815,8.23983,-0.968478
0,0.042,0.0144,0.003,14.2661,8.91849,2.18348
0,0.042,0.0012,0.0066,16.4123,0.467662,5.5566
0,0.042,0.0126,-0.0084,14.1885,7.93678,-4.94429
0,0.042,0.0078,0.0102,15.2692,4.95474,7.06401
0,0.042,0.009,-0.0012,15.7268,7.21177,-0.68312
0,0.042,-0.009,-0.0072,15.3802,-6.13522,-5.34183
0,0.042,-0.0072,0.0078,15.4776,-5.5214,5.60198
0,0.042,-0.009,0.0078,15.1393,-6.42226,5.18371
0,0.042,0.0108,0.006,15.311,7.28298,4.3843
0,0.042,0.0006,0.0078,16.1899,0.050896,6.19347
0,0.042,0.0006,-0.0126,15.3116,0.793057,-8.58484
0,0.042,0.0084,-0.0012,15.8528,6.8842,-0.656739
0,0.042,0.0132,-0.003,14.4925,8.63444,-1.6504
0,0.042,0.0096,-0.0024,15.4802,7.43801,-1.55565
0,0.042,-0.0126,0.0036,14.6309,-8.42721,2.08227
0,0.042,0.0066,0.0108,15.3825,4.19663,7.49509
0,0.042,-0.0006,-0.0108,15.4848,-0.154618,-7.88327
0,0.042,-0.0096,0.0072,15.0574,-6.78382,4.74255
0,0.042,-0.0072,0.0054,15.774,-5.89331,4.1139
0,0.042,0.0096,-0.012,14.2532,6.14269,-7.27541
0,0.042,-0.0042,-0.0072,16.0037,-3.1712,-6.11195
0,0.042,-0.009,0.0066,15.2395,-6.60749,4.56318
0,0.042,-0.0126,0.0042,14.5808,-8.4462,2.41549
0,0.042,0.0162,0.0018,13.6351,9.47447,1.40195
0,0.042,0.0054,-0.012,14.9854,3.94317,-7.74013
0,0.042,0.0012,-0.0108,15.536,1.24503,-7.78851
0,0.042,-0.012,0.0018,14.9185,-8.30978,0.881358
0,0.042,0.006,-0.0114,15.0239,4.27576,-7.48737
0,0.042,-0.015,0.0012,13.9618,-9.15195,0.372005
0,0.042,-0.0096,0.0108,14.6008,-6.34967,6.69055
0,0.042,0.012,-0.0084,14.3404,7.66077,-5.02697
0,0.042,-0.0018,0.0114,15.5739,-1.66516,8.00853
0,0.042,-0.0108,-0.0096,14.5425,-6.58481,-6.14424
0,0.042,-0.0066,-0.0084,15.6195,-4.59368,-6.3515
0,0.042,0.009,-0.0072,15.0591,6.60256,-4.81869
0,0.042,0.0102,-0.009,14.5853,6.88942,-5.61871
0,0.042,-0.0114,-0.006,14.9986,-7.4331,-4.23698
0,0.042,-0.0066,-0.0102,15.3361,-4.30776,-7.16462
0,0.042,0.0084,0.0048,15.7645,6.53994,4.05396
0,0.042,-0.012,0.0072,14.5142,-7.82465,4.38558
0,0.042,-0.0084,0.0006,15.9509,-6.76108,0.0715442
0,0.042,-0.0006,0.0108,15.698,-0.690917,7.76659
0,0.042,-0.009,-0.0084,15.3163,-5.931,-5.94406
0,0.042,0.0018,-0.0084,15.9733,1.67655,-6.54828
0,0.042,0.0072,0.0066,15.8735,5.59216,5.38196
0,0.042,-0.0072,-0.0114,14.8998,-4.34718,-7.50166
0,0.042,0.0138,-0.0036,14.296,8.82317,-1.93728
0,0.042,-0.0072,0.0102,15.1659,-5.14517,6.77042
0,0.042,0.0132,-0.0084,13.954,8.19681,-4.82982
0,0.042,-0.0156,0.0024,13.5445,-9.19546,1.10102
0,0.042,-0.0102,-0.0066,15.1643,-6.75899,-4.78478
0,0.042,0.0138,-0.0084,13.7113,8.40523,-4.75274
0,0.042,-0.0126,0.0072,14.3274,-8.06137,4.25918
0,0.042,-0.0084,-0.0006,16.0702,-6.72868,-0.848414
0,0.042,0.0096,-0.006,15.1507,7.03983,-4.11303
0,0.042,0.0084,-0.0018,15.7686,6.9166,-1.13232
0,0.042,0.0114,-0.0042,14.9812,7.88163,-2.57966
0,0.042,-0.0012,0.0048,16.7047,-0.994563,3.94972
0,0.042,-0.012,-0.006,14.8076,-7.69435,-4.17177
0,0.042,0.0114,-0.0096,14.2745,7.28586,-5.79119
0,0.042,0.0072,0.006,15.9092,5.7503,5.05468
0,0.042,-0.0102,-0.006,15.2083,-6.85353,-4.44832
0,0.042,0.009,0.0078,15.5412,6.14938,5.67576
0,0.042,-0.0078,0.0084,15.2272,-5.73069,5.77799
0,0.042,0.0096,0.0078,15.4227,6.43697,5.5834
0,0.042,-0.0144,0.0006,14.2188,-8.98427,-0.0544779
0,0.042,0.009,-0.0024,15.5811,7.23926,-1.57557
0,0.042,0.0006,-0.009,15.8208,0.82397,-6.90489
0,0.042,-0.0084,0.0084,15.0875,-6.06694,5.61938
0,0.042,-0.0036,0.0114,15.3932,-2.84652,7.79186
0,0.042,0.0126,-0.0042,14.6465,8.30183,-2.50129
0,0.042,-0.003,-0.0084,15.9273,-2.0321,-6.79587
0,0.042,0.0132,-0.0042,14.4479,8.51764,-2.42134
0,0.042,0.0012,0.003,16.8476,0.325943,2.22348
0,0.042,-0.0096,-0.0054,15.3297,-6.69675,-4.13049
0,0.042,-0.0036,0.0108,15.469,-2.86148,7.55273
0,0.042,-0.009,0.0012,15.7113,-7.14301,0.485885
0,0.042,0.0108,-0.0096,14.3872,7.06338,-5.84012
0,0.042,-0.0108,-0.0078,14.9394,-6.87258,-5.34235
0,0.042,0.0006,0.0102,15.826,0.14536,7.4806
0,0.042,0.0006,0.006,16.4655,0.0143533,5.10358
0,0.042,0.0144,-0.0078,13.5506,8.64839,-4.34188
0,0.042,-0.009,0,15.8492,-7.09619,-0.424796
